CLK_REF_COUNTER,CPU0_CLOCK_COUNTER,CPU0_CACHE_REFILL,CPU0_CACHE_ACCESS,CPU0_READ_STALL,CPU0_WRITE_STALL,CPU0_INSTR_RENAME,CPU0_BRANCH_MISS,CPU1_CLOCK_COUNTER,CPU1_CACHE_REFILL,CPU1_CACHE_ACCESS,CPU1_READ_STALL,CPU1_WRITE_STALL,CPU1_INSTR_RENAME,CPU1_BRANCH_MISS,
1491874336932000000, 30005361, 0, 523733352, 0, 0, 2618687398, 0, 3759, 0, 0, 0, 0, 0, 0, 
1491874336991000000, 30615806, 0, 534388403, 0, 0, 2671962644, 0, 3823, 0, 0, 0, 0, 0, 0, 
1491874337049000000, 31222994, 0, 544986592, 0, 0, 2724953588, 0, 3887, 0, 0, 0, 0, 0, 0, 
1491874337108000000, 31836548, 0, 555695897, 0, 0, 2778500128, 0, 3951, 0, 0, 0, 0, 0, 0, 
1491874337166000000, 32438472, 0, 566202197, 0, 0, 2831031614, 0, 4015, 0, 0, 0, 0, 0, 0, 
1491874337224000000, 33050993, 0, 576893470, 0, 0, 2884487980, 0, 4079, 0, 0, 0, 0, 0, 0, 
1491874337282000000, 33654481, 0, 587427086, 0, 0, 2937156062, 0, 4143, 0, 0, 0, 0, 0, 0, 
1491874337341000000, 34265163, 0, 598086263, 0, 0, 2990451954, 0, 4207, 0, 0, 0, 0, 0, 0, 
1491874337400000000, 34880828, 0, 608832416, 0, 0, 3044182712, 0, 4271, 0, 0, 0, 0, 0, 0, 
1491874337458000000, 35487184, 0, 619416086, 0, 0, 3097101068, 0, 4335, 0, 0, 0, 0, 0, 0, 
1491874337517000000, 36096731, 0, 630055442, 0, 0, 3150297842, 0, 4399, 0, 0, 0, 0, 0, 0, 
1491874337575000000, 36702535, 0, 640668095, 0, 0, 3203361106, 0, 4463, 0, 0, 0, 0, 0, 0, 
1491874337634000000, 37319868, 0, 651404753, 0, 0, 3257044406, 0, 4527, 0, 0, 0, 0, 0, 0, 
1491874337692000000, 37925145, 0, 661969582, 0, 0, 3309868546, 0, 4591, 0, 0, 0, 0, 0, 0, 
1491874337750000000, 38530795, 0, 672540930, 0, 0, 3362725292, 0, 4655, 0, 0, 0, 0, 0, 0, 
1491874337808000000, 39133217, 0, 683055923, 0, 0, 3415300250, 0, 4719, 0, 0, 0, 0, 0, 0, 
1491874337866000000, 39738948, 0, 693628692, 0, 0, 3468164106, 0, 4783, 0, 0, 0, 0, 0, 0, 
1491874337926000000, 40358290, 0, 704439032, 0, 0, 3522215788, 0, 4847, 0, 0, 0, 0, 0, 0, 
1491874337985000000, 40972424, 0, 715158446, 0, 0, 3575812858, 0, 4911, 0, 0, 0, 0, 0, 0, 
1491874338044000000, 41588478, 0, 725911397, 0, 0, 3629577626, 0, 4975, 0, 0, 0, 0, 0, 0, 
1491874338102000000, 42193999, 0, 736480487, 0, 0, 3682423064, 0, 5039, 0, 0, 0, 0, 0, 0, 
1491874338161000000, 42809749, 0, 747228128, 0, 0, 3736161268, 0, 5103, 0, 0, 0, 0, 0, 0, 
1491874338219000000, 43413726, 0, 757770262, 0, 0, 3788871938, 0, 5167, 0, 0, 0, 0, 0, 0, 
1491874338278000000, 44030411, 0, 768534216, 0, 0, 3842691718, 0, 5231, 0, 0, 0, 0, 0, 0, 
1491874338336000000, 44633910, 0, 779068028, 0, 0, 3895360772, 0, 5295, 0, 0, 0, 0, 0, 0, 
1491874338395000000, 45247110, 0, 789771158, 0, 0, 3948876426, 0, 5359, 0, 0, 0, 0, 0, 0, 
1491874338454000000, 45855902, 0, 800397344, 0, 0, 4002007360, 0, 5423, 0, 0, 0, 0, 0, 0, 
1491874338511000000, 46452769, 0, 810815376, 0, 0, 4054097514, 0, 5487, 0, 0, 0, 0, 0, 0, 
